epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1080.66,0.86891,1.9762,1.23996,0.70379,0.55046,0.59029,0.47838,0.67075,0.96848,1.04392,0.00333306,0.00333306,0.00333306
2,2103.12,0.85781,1.36249,1.19861,0.70835,0.58911,0.64681,0.53366,0.63971,0.81516,1.01905,0.00653439,0.00653439,0.00653439
3,3081.42,0.88003,1.29841,1.21537,0.74233,0.57858,0.64836,0.53211,0.66645,0.84657,1.04378,0.00960373,0.00960373,0.00960373
4,4070.08,0.86166,1.23884,1.20386,0.63929,0.42475,0.47683,0.35814,0.95742,1.49704,1.32659,0.009406,0.009406,0.009406
5,5058.75,0.82401,1.15998,1.17863,0.55417,0.26633,0.32557,0.22447,1.26002,2.20305,1.62367,0.009208,0.009208,0.009208
6,10531,0.80321,1.11841,1.16515,0.59598,0.28794,0.34436,0.24089,1.21876,2.10559,1.58124,0.00901,0.00901,0.00901
7,11491.2,0.79168,1.09474,1.15737,0.64978,0.4019,0.45639,0.33962,1.01378,1.59031,1.37492,0.008812,0.008812,0.008812
8,12472.9,0.78422,1.07526,1.15206,0.69017,0.50617,0.57142,0.44801,0.83373,1.17105,1.19828,0.008614,0.008614,0.008614
9,13453.4,0.77643,1.06129,1.14727,0.67645,0.57921,0.64857,0.52476,0.72847,0.93585,1.09538,0.008416,0.008416,0.008416
10,14411.2,inf,1.05189,1.14514,0.70268,0.62374,0.6923,0.57185,0.66927,0.80813,1.03987,0.008218,0.008218,0.008218
11,15408.1,0.7681,1.0396,1.14196,0.69168,0.6595,0.71813,0.60047,0.63471,0.73458,1.00857,0.00802,0.00802,0.00802
12,16399.2,0.76516,1.03611,1.13985,0.69656,0.68278,0.73422,0.61866,0.61325,0.69127,0.98973,0.007822,0.007822,0.007822
13,17393,0.76262,1.02457,1.13712,0.71874,0.68653,0.74425,0.63009,0.5998,0.66405,0.97872,0.007624,0.007624,0.007624
14,37304.9,0.75948,1.02263,1.13637,0.7287,0.68942,0.75181,0.63815,0.59088,0.64571,0.97158,0.007426,0.007426,0.007426
15,38279.5,0.75681,1.0158,1.13419,0.72955,0.69887,0.75809,0.64541,0.58457,0.63315,0.96677,0.007228,0.007228,0.007228
16,39267,0.75567,1.01076,1.13306,0.73075,0.7043,0.76249,0.6499,0.58066,0.62407,0.96384,0.00703,0.00703,0.00703
17,40258.5,0.75244,1.00392,1.13102,0.7368,0.7074,0.76615,0.65451,0.5776,0.61696,0.96112,0.006832,0.006832,0.006832
18,41278.1,0.7494,0.99877,1.12864,0.74095,0.70887,0.77033,0.65875,0.57481,0.61161,0.95886,0.006634,0.006634,0.006634
19,42298.4,0.74643,0.99284,1.12766,0.73929,0.7162,0.77362,0.66232,0.57243,0.60658,0.95704,0.006436,0.006436,0.006436
20,43319.8,0.7444,0.98947,1.12594,0.73544,0.7241,0.77679,0.66559,0.57065,0.60278,0.95556,0.006238,0.006238,0.006238
21,44285.9,0.74187,0.98578,1.12447,0.73337,0.73147,0.77951,0.66843,0.56915,0.59982,0.95449,0.00604,0.00604,0.00604
22,45300.4,0.73895,0.98066,1.12261,0.74045,0.72651,0.78116,0.67053,0.56784,0.59691,0.95309,0.005842,0.005842,0.005842
23,46280.9,0.73661,0.97117,1.12142,0.73094,0.73838,0.78317,0.6726,0.56691,0.59407,0.95175,0.005644,0.005644,0.005644
24,47266.1,0.73421,0.96817,1.11937,0.72851,0.7469,0.78454,0.67406,0.56544,0.59215,0.95046,0.005446,0.005446,0.005446
25,48256.5,0.7325,0.96356,1.11857,0.74262,0.73666,0.78604,0.67587,0.56453,0.58896,0.94952,0.005248,0.005248,0.005248
26,49237.6,0.72998,0.95824,1.11619,0.743,0.74057,0.78839,0.67821,0.56382,0.58569,0.94884,0.00505,0.00505,0.00505
27,50222.6,0.72814,0.95291,1.115,0.74527,0.74466,0.78995,0.67998,0.56244,0.58312,0.94754,0.004852,0.004852,0.004852
